"","survey","variable","question"
"161","decision","thank_you_for_reaching_this_point_in_the_survey_you_may_continue_if_you_have_time_or_finish_now_if_you_prefer_do_you_have_time_to_continue","Thank you for reaching this point in the survey. You may continue if you have time, or finish now if you prefer. Do you have time to continue?"
"162","decision","at_the_end_of_the_survey_you_will_be_provided_two_links_to_continue_it_in_order_to_be_able_to_merge_your_answers_from_the_surveys_we_need_you_to_select_a_5_characters_identification_code_it_could_be_any_combination_of_letters_but_we_suggest_your_initials_plus_the_last_digits_of_your_birth_year_remember_to_copy_and_paste_it","At the end of the survey you will be provided two links to continue it. In order to be able to merge your answers from the surveys, we need you to select a 5 characters identification code. It could be any combination of letters but we suggest your initials plus the last digits of your birth year. Remember to copy and paste it!"
"163","decision","is_there_anything_else_you_would_like_to_share_with_us_regarding_your_experience_with_this_survey","Is there anything else you would like to share with us regarding your experience with this survey?"
"164","concerns2","do_you_have_a_prolific_id_or_an_identification_code_from_a_previous_survey","Do you have a Prolific ID or an identification code from a previous survey?"
"165","concerns2","please_provide_your_prolific_id","Please provide your Prolific ID."
"166","concerns2","have_you_ever_taken_a_survey_about_this_project_before","Have you ever taken a survey about this project before?"
"167","concerns2","please_provide_your_identification_code","Please provide your identification code."
"168","concerns2","please_enter_your_year_of_birth","Please enter your year of birth."
"169","concerns2","what_is_your_gender","What is your gender?"
"170","concerns2","in_which_country_do_you_currently_live","In which country do you currently live?"
"171","concerns2","what_is_the_approximate_population_size_of_the_city_where_you_live","What is the approximate population size of the city where you live?"
"172","concerns2","in_which_climate_zone_do_you_live_please_select_the_option_that_corresponds_to_your_location_if_you_re_not_sure_which_climate_zone_you_live_in_please_refer_to_the_map_below_or_select_the_option_that_best_matches_your_region","In which climate zone do you live? Please select the option that corresponds to your location. If you’re not sure which climate zone you live in, please refer to the map below or select the option that best matches your region."
"173","concerns2","what_type_of_household_do_you_live_in_please_select_the_option_that_best_describes_your_household","What type of household do you live in? Please select the option that best describes your household."
"174","concerns2","what_is_the_current_tenure_status_of_your_home","What is the current tenure status of your home?"
"175","concerns2","what_is_the_highest_level_of_education_that_you_have_completed_if_you_are_currently_studying_and_have_not_yet_completed_a_level_please_select_the_last_level_you_have_finished","What is the highest level of education that you have completed? If you are currently studying and have not yet completed a level, please select the last level you have finished."
"176","concerns2","what_is_your_current_employment_status_please_indicate_your_main_contractual_status_if_you_are_temporarily_on_leave_such_as_sick_leave_parental_leave_or_a_temporary_reduction_in_working_hours_please_report_your_usual_employment_status","What is your current employment status? Please indicate your main contractual status. If you are temporarily on leave — such as sick leave, parental leave, or a temporary reduction in working hours — please report your usual employment status."
"177","concerns2","do_you_have_any_health_condition_or_functional_limitation_that_requires_assistance_from_other_people_for_daily_activities_e_g_help_with_traveling_personal_care_or_household_tasks","Do you have any health condition or functional limitation that requires assistance from other people for daily activities? (e.g., help with traveling, personal care, or household tasks.)"
"178","concerns2","in_a_typical_day_what_is_the_total_distance_you_travel_please_include_all_trips_and_all_modes_of_transport_car_bicycle_public_transport_walking_etc","In a typical day, what is the total distance you travel? Please include all trips and all modes of transport: car, bicycle, public transport, walking, etc."
"179","concerns2","in_a_typical_day_how_much_total_time_do_you_spend_travelling_please_include_all_trips_and_all_modes_of_transport","In a typical day, how much total time do you spend travelling? Please include all trips and all modes of transport."
"180","concerns2","do_you_currently_work_or_study_from_home","Do you currently work or study from home?"
"181","concerns2","which_of_the_following_best_describes_your_usual_travel_role","Which of the following best describes your usual travel role?"
"182","concerns2","which_of_the_following_best_describes_your_general_approach_to_voting_in_elections","Which of the following best describes your general approach to voting in elections?"
"183","concerns2","on_a_scale_from_0_to_100_where_0_means_most_left_and_100_means_most_right_where_would_you_place_yourself_politically","On a scale from 0 to 100, where 0 means ""most left"" and 100 means ""most right"", where would you place yourself politically?"
"184","concerns2","which_statement_best_describes_you_when_making_an_investment_decision_related_to_your_household","Which statement best describes you when making an investment decision related to your household?"
"185","concerns2","on_a_scale_of_0_to_100_where_0_means_i_am_not_interested_in_energy_efficiency_at_all_and_100_means_i_am_interested_in_getting_the_highest_efficiency_in_my_home_even_if_the_actions_are_not_cost_effective_how_would_you_rate_your_energy_efficiency_goal","On a scale of 0 to 100, where 0 means “I am not interested in energy efficiency at all” and 100 means “I am interested in getting the highest efficiency in my home, even if the actions are not cost effective” how would you rate your energy efficiency goal?"
"186","concerns2","on_a_scale_of_0_to_100_where_0_means_climate_change_does_not_exist_and_100_means_climate_change_is_real_and_caused_by_human_activities_how_would_you_rate_your_level_of_awareness_of_climate_change","On a scale of 0 to 100, where 0 means “Climate change does not exist” and 100 means “Climate change is real and caused by human activities”, how would you rate your level of awareness of climate change?"
"187","concerns2","on_a_scale_of_0_to_100_where_0_means_it_is_the_first_time_i_hear_about_it_and_100_means_i_am_an_expert_or_activist_how_would_you_rate_your_level_of_awareness_about_the_energy_transition","On a scale of 0 to 100, where 0 means “It is the first time I hear about it” and 100 means “I am an expert or activist”, how would you rate your level of awareness about the energy transition?"
"188","concerns2","look_at_the_three_horizontal_lines_in_the_image_which_line_is_the_longest","Look at the three horizontal lines in the image. Which line is the longest?"
"189","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_micro_efficiency_measures_e_g_avoiding_unnecessary_consumption","For each of the following technologies, decisions, or behaviours:: Micro-efficiency measures (e.g. avoiding unnecessary consumption)"
"190","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff","For each of the following technologies, decisions, or behaviours:: Change of electricity tariff (e.g. switching to a time -of-use tariff)"
"191","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_energy_efficient_appliances","For each of the following technologies, decisions, or behaviours:: Energy-efficient appliances"
"192","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_rooftop_photovoltaic_system_solar_pv","For each of the following technologies, decisions, or behaviours:: Rooftop photovoltaic system (Solar PV)"
"193","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_energy_storage_systems","For each of the following technologies, decisions, or behaviours:: Energy storage systems"
"194","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_fossil_fuel_or_biomass_based_heating_system","For each of the following technologies, decisions, or behaviours:: Fossil fuel or biomass based heating system"
"195","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_cooling_system","For each of the following technologies, decisions, or behaviours:: Cooling system"
"196","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_envelope_renovation_e_g_wall_roof_insulation_double_windows","For each of the following technologies, decisions, or behaviours:: Envelope renovation (e.g. wall/roof insulation, double windows)"
"197","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_electric_vehicle","For each of the following technologies, decisions, or behaviours:: Electric vehicle"
"198","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_heat_recovery_mechanical_ventilation","For each of the following technologies, decisions, or behaviours:: Heat recovery mechanical ventilation"
"199","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_smart_home_systems","For each of the following technologies, decisions, or behaviours:: Smart home systems"
"200","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_elevator","For each of the following technologies, decisions, or behaviours:: Elevator"
"201","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_heat_pump_based_heating_system","For each of the following technologies, decisions, or behaviours:: Heat pump based heating system"
"202","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system","For each of the following technologies, decisions, or behaviours:: Domestic Hot Water system (e.g. gas boiler, electric water heater/thermo, solar thermal system)."
"203","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_join_an_energy_community","For each of the following technologies, decisions, or behaviours:: Join an Energy Community"
"204","concerns2","for_each_of_the_following_technologies_decisions_or_behaviours_balcony_solar_kits","For each of the following technologies, decisions, or behaviours:: Balcony solar kits"
"205","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_micro_efficiency_measures_e_g_avoiding_unnecessary_consumption","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Micro-efficiency measures (e.g. avoiding unnecessary consumption)"
"206","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_change_of_electricity_tariff_e_g_switching_to_a_time_of_use_tariff","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Change of electricity tariff (e.g. switching to a time -of-use tariff)"
"207","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_energy_efficient_appliances","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Energy-efficient appliances"
"208","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_rooftop_photovoltaic_system_solar_pv","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Rooftop photovoltaic system (Solar PV)"
"209","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_energy_storage_systems","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Energy storage systems"
"210","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_fossil_fuel_or_biomass_based_heating_system","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Fossil fuel or biomass based heating system"
"211","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_cooling_system","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Cooling system"
"212","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_envelope_renovation_e_g_wall_roof_insulation_double_windows","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Envelope renovation (e.g. wall/roof insulation, double windows)"
"213","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_electric_vehicle","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Electric vehicle"
"214","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_heat_recovery_mechanical_ventilation","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Heat recovery mechanical ventilation"
"215","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_smart_home_systems","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Smart home systems"
"216","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_elevator","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Elevator"
"217","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_heat_pump_based_heating_system","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Heat pump based heating system"
"218","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_domestic_hot_water_system_e_g_gas_boiler_electric_water_heater_thermo_solar_thermal_system","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Domestic Hot Water system (e.g. gas boiler, electric water heater/thermo, solar thermal system)."
"219","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_join_an_energy_community","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Join an Energy Community"
"220","concerns2","please_indicate_when_the_technology_decision_was_implemented_or_contracted_if_it_was_part_of_the_original_building_and_has_never_been_upgraded_please_indicate_the_age_of_the_building_balcony_solar_kits","Please, indicate when the technology / decision was implemented or contracted. If it was part of the original building and has never been upgraded, please indicate the age of the building.: Balcony solar kits"
"221","concerns2","what_are_your_main_barriers_to_performing_a_deep_renovation_of_your_household_please_select_all_that_apply_to_you_if_you_have_doubts_the_button_includes_a_longer_description_of_each_option","What are your main barriers to performing a deep renovation of your household? Please select all that apply to you. If you have doubts, the (?) button includes a longer description of each option."
"222","concerns2","which_of_the_following_would_make_you_more_convinced_that_the_renovation_is_financially_worthwhile_please_select_all_that_apply","Which of the following would make you more convinced that the renovation is financially worthwhile? Please select all that apply."
"223","concerns2","which_of_the_following_options_would_make_this_type_of_renovation_seem_more_meaningful_to_you_select_all_that_apply","Which of the following options would make this type of renovation seem more meaningful to you? Select all that apply."
"224","concerns2","which_of_the_following_measures_would_make_you_feel_more_secure_about_starting_the_renovation_process_please_select_all_that_apply","Which of the following measures would make you feel more secure about starting the renovation process? Please select all that apply."
"225","concerns2","which_of_the_following_would_help_you_feel_better_informed_and_more_confident_about_this_renovation_please_select_all_that_apply","Which of the following would help you feel better informed and more confident about this renovation? Please select all that apply."
"226","concerns2","which_of_the_following_would_make_you_feel_more_willing_and_able_to_undertake_the_renovation_please_select_all_that_apply","Which of the following would make you feel more willing and able to undertake the renovation? Please select all that apply."
"227","concerns2","which_of_the_following_would_make_energy_efficiency_or_greater_energy_self_sufficiency_feel_more_interesting_engaging_or_appealing_to_you","Which of the following would make energy efficiency or greater energy self-sufficiency feel more interesting, engaging, or appealing to you?"
"228","concerns2","which_of_the_following_would_help_reduce_your_concerns_about_disruption_comfort_or_quality_of_life_caused_by_the_renovation_please_select_all_that_apply","Which of the following would help reduce your concerns about disruption, comfort, or quality of life caused by the renovation? Please select all that apply."
"229","concerns2","which_of_the_following_would_make_you_more_willing_to_undertake_the_renovation_despite_concerns_about_your_social_environment_or_the_people_around_you_please_select_all_that_apply","Which of the following would make you more willing to undertake the renovation despite concerns about your social environment or the people around you? Please select all that apply."
"230","concerns2","which_of_the_following_would_make_energy_renovations_feel_more_socially_encouraged_visible_or_relevant_please_select_all_that_apply","Which of the following would make energy renovations feel more socially encouraged, visible, or relevant? Please select all that apply."
"231","concerns2","please_briefly_explain_why_none_of_the_options_above_apply_to_your_situation_or_describe_any_other_reasons_concerns_or_conditions_that_were_not_covered","Please briefly explain why none of the options above apply to your situation, or describe any other reasons, concerns, or conditions that were not covered."
"232","concerns2","please_follow_the_instruction_below_when_selecting_your_answer_select_option_4","Please follow the instruction below when selecting your answer. Select “Option 4”."
"233","concerns2","if_you_were_undertaking_a_major_home_renovation_e_g_replacing_your_heating_system_or_upgrading_insulation_which_channels_would_you_trust_most_for_information_please_rank_the_following_from_most_trusted_top_to_least_trusted_bottom","If you were undertaking a major home renovation (e.g., replacing your heating system or upgrading insulation), which channels would you trust most for information? Please rank the following from most trusted (top) to least trusted (bottom)."
"234","concerns2","if_you_were_planning_a_major_energy_renovation_for_your_home_e_g_replacing_your_heating_system_or_upgrading_insulation_which_of_the_following_sources_would_you_trust_most_for_advice_please_select_up_to_three_options","If you were planning a major energy renovation for your home (e.g., replacing your heating system or upgrading insulation), which of the following sources would you trust most for advice? Please select up to three options."
"235","concerns2","select_the_three_aspects_most_important_when_deciding_whether_you_consider_an_information_source_trustworthy","Select the three aspects most important when deciding whether you consider an information source trustworthy."
"236","concerns2","please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_nuclear_fission","Please rate your level of support for each of the following electricity generation technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Nuclear Fission"
"237","concerns2","please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_nuclear_fusion","Please rate your level of support for each of the following electricity generation technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Nuclear Fusion"
"238","concerns2","please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_fossil_fuel_power_plants","Please rate your level of support for each of the following electricity generation technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Fossil Fuel Power Plants"
"239","concerns2","please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_biomass_biofuels","Please rate your level of support for each of the following electricity generation technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Biomass & Biofuels"
"240","concerns2","please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_large_scale_hydropower","Please rate your level of support for each of the following electricity generation technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Large-scale Hydropower"
"241","concerns2","please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_large_scale_solar_farms_pv","Please rate your level of support for each of the following electricity generation technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Large-scale Solar Farms (PV)"
"242","concerns2","please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_self_supply_solar_pv","Please rate your level of support for each of the following electricity generation technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Self-supply Solar (PV)"
"243","concerns2","please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_onshore_wind","Please rate your level of support for each of the following electricity generation technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Onshore Wind"
"244","concerns2","please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_offshore_wind","Please rate your level of support for each of the following electricity generation technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Offshore Wind"
"245","concerns2","please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_geothermal_energy","Please rate your level of support for each of the following electricity generation technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Geothermal Energy"
"246","concerns2","please_rate_your_level_of_support_for_each_of_the_following_electricity_generation_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_ocean_energy","Please rate your level of support for each of the following electricity generation technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Ocean Energy"
"247","concerns2","we_noticed_you_have_concerns_about_nuclear_fission_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Nuclear fission—could you tell us why? Please select up to three concerns."
"248","concerns2","we_noticed_you_have_concerns_about_nuclear_fusion_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Nuclear fusion—could you tell us why? Please select up to three concerns."
"249","concerns2","we_noticed_you_have_concerns_about_fossil_fuel_power_plants_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Fossil Fuel Power Plants—could you tell us why? Please select up to three concerns."
"250","concerns2","we_noticed_you_have_concerns_about_biomass_biofuels_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Biomass & Biofuels—could you tell us why? Please select up to three concerns."
"251","concerns2","we_noticed_you_have_concerns_about_large_scale_hydropower_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Large-scale Hydropower—could you tell us why? Please select up to three concerns."
"252","concerns2","we_noticed_you_have_concerns_about_large_scale_solar_farms_pv_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Large-scale Solar Farms (PV)—could you tell us why? Please select up to three concerns."
"253","concerns2","we_noticed_you_have_concerns_about_self_supply_solar_pv_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Self-supply Solar (PV)—could you tell us why? Please select up to three concerns."
"254","concerns2","we_noticed_you_have_concerns_about_onshore_wind_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Onshore Wind—could you tell us why? Please select up to three concerns."
"255","concerns2","we_noticed_you_have_concerns_about_offshore_wind_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Offshore Wind—could you tell us why? Please select up to three concerns."
"256","concerns2","we_noticed_you_have_concerns_about_geothermal_energy_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Geothermal Energy—could you tell us why? Please select up to three concerns."
"257","concerns2","we_noticed_you_have_concerns_about_ocean_energy_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Ocean Energy—could you tell us why? Please select up to three concerns."
"258","concerns2","please_select_strongly_disagree","Please select “Strongly disagree”."
"259","concerns2","please_rate_your_level_of_support_for_each_of_the_following_heating_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_fossil_fuel_systems","Please rate your level of support for each of the following heating technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Fossil fuel systems"
"260","concerns2","please_rate_your_level_of_support_for_each_of_the_following_heating_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_biomass_or_biofuels","Please rate your level of support for each of the following heating technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Biomass or Biofuels"
"261","concerns2","please_rate_your_level_of_support_for_each_of_the_following_heating_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_hydrogen_or_hythane","Please rate your level of support for each of the following heating technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Hydrogen or Hythane"
"262","concerns2","please_rate_your_level_of_support_for_each_of_the_following_heating_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_electric_radiators_heaters","Please rate your level of support for each of the following heating technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Electric radiators/heaters"
"263","concerns2","please_rate_your_level_of_support_for_each_of_the_following_heating_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_heat_pumps","Please rate your level of support for each of the following heating technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Heat pumps"
"264","concerns2","please_rate_your_level_of_support_for_each_of_the_following_heating_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_district_heating_networks","Please rate your level of support for each of the following heating technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: District heating networks"
"265","concerns2","please_rate_your_level_of_support_for_each_of_the_following_heating_technologies_on_a_scale_from_strongly_oppose_to_strongly_support_solar_thermal_heat_generation","Please rate your level of support for each of the following heating technologies on a scale from 'Strongly Oppose' to 'Strongly Support'.: Solar thermal heat generation"
"266","concerns2","we_noticed_you_have_concerns_about_fossil_fuel_systems_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Fossil fuel systems—could you tell us why? Please select up to three concerns."
"267","concerns2","we_noticed_you_have_concerns_about_biomass_or_biofuels_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Biomass or Biofuels—could you tell us why? Please select up to three concerns."
"268","concerns2","we_noticed_you_have_concerns_about_hydrogen_or_hythane_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Hydrogen or Hythane—could you tell us why? Please select up to three concerns."
"269","concerns2","we_noticed_you_have_concerns_about_electric_radiators_heaters_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Electric radiators/heaters—could you tell us why? Please select up to three concerns."
"270","concerns2","we_noticed_you_have_concerns_about_heat_pumps_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Heat pumps—could you tell us why? Please select up to three concerns."
"271","concerns2","we_noticed_you_have_concerns_about_district_heating_networks_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about District heating networks—could you tell us why? Please select up to three concerns."
"272","concerns2","we_noticed_you_have_concerns_about_solar_thermal_heat_generation_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Solar thermal heat generation—could you tell us why? Please select up to three concerns."
"273","concerns2","please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_large_scale_energy_storage","Please rate your level of support for each of the following energy system infrastructure on a scale from 'Strongly Oppose' to 'Strongly Support'.: Large-scale Energy Storage"
"274","concerns2","please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_green_fuel_production","Please rate your level of support for each of the following energy system infrastructure on a scale from 'Strongly Oppose' to 'Strongly Support'.: Green Fuel Production"
"275","concerns2","please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_carbon_management","Please rate your level of support for each of the following energy system infrastructure on a scale from 'Strongly Oppose' to 'Strongly Support'.: Carbon Management"
"276","concerns2","please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_smart_grid_technology","Please rate your level of support for each of the following energy system infrastructure on a scale from 'Strongly Oppose' to 'Strongly Support'.: Smart Grid Technology"
"277","concerns2","please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_pipeline_expansion","Please rate your level of support for each of the following energy system infrastructure on a scale from 'Strongly Oppose' to 'Strongly Support'.: Pipeline Expansion"
"278","concerns2","please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_onshore_power_lines","Please rate your level of support for each of the following energy system infrastructure on a scale from 'Strongly Oppose' to 'Strongly Support'.: Onshore Power Lines"
"279","concerns2","please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_submarine_power_cables","Please rate your level of support for each of the following energy system infrastructure on a scale from 'Strongly Oppose' to 'Strongly Support'.: Submarine Power Cables"
"280","concerns2","please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_ev_charging_infrastructure","Please rate your level of support for each of the following energy system infrastructure on a scale from 'Strongly Oppose' to 'Strongly Support'.: EV Charging Infrastructure"
"281","concerns2","please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_local_microgrids","Please rate your level of support for each of the following energy system infrastructure on a scale from 'Strongly Oppose' to 'Strongly Support'.: Local Microgrids"
"282","concerns2","please_rate_your_level_of_support_for_each_of_the_following_energy_system_infrastructure_on_a_scale_from_strongly_oppose_to_strongly_support_energy_communities","Please rate your level of support for each of the following energy system infrastructure on a scale from 'Strongly Oppose' to 'Strongly Support'.: Energy Communities"
"283","concerns2","we_noticed_you_have_concerns_about_large_scale_energy_storage_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Large-scale Energy Storage—could you tell us why? Please select up to three concerns."
"284","concerns2","we_noticed_you_have_concerns_about_green_fuel_production_could_you_tell_us_why_please_select_up_to_three_concerns","We noticed you have concerns about Green Fuel Production—could you tell us why? Please select up to three concerns."
